INPUT,TARGET
"Hélas ! si vous saviez, comme il était ravi.","Comme il perdit son mal, sitôt que je le vis ;"
"Comme il perdit son mal, sitôt que je le vis ;","Le présent qu’il m’a fait d’une belle cassette,"
"Le présent qu’il m’a fait d’une belle cassette,",Et l’argent qu’en ont eu notre Alain et Georgette.
Et l’argent qu’en ont eu notre Alain et Georgette.,"Vous l’aimeriez sans doute, et diriez comme nous…"
"Vous l’aimeriez sans doute, et diriez comme nous…",Oui ; mais que faisait-il étant seul avec vous ?
Oui ; mais que faisait-il étant seul avec vous ?,Il jurait qu’il m’aimait d’une amour sans seconde :
Il jurait qu’il m’aimait d’une amour sans seconde :,Et me disait des mots les plus gentils du monde :
Et me disait des mots les plus gentils du monde :,Des choses que jamais rien ne peut égaler ;
Des choses que jamais rien ne peut égaler ;,"Et dont, toutes les fois que je l’entends parler,"
"Et dont, toutes les fois que je l’entends parler,","La douceur me chatouille, et là-dedans remue"
"La douceur me chatouille, et là-dedans remue","Certain je ne sais quoi, dont je suis toute émue."
"Certain je ne sais quoi, dont je suis toute émue.","Ô fâcheux examen d’un mystère fatal,"
"Ô fâcheux examen d’un mystère fatal,",Où l’examinateur souffre seul tout le mal !
Où l’examinateur souffre seul tout le mal !,"Outre tous ces discours, toutes ces gentillesses,"
"Outre tous ces discours, toutes ces gentillesses,",Ne vous faisait-il point aussi quelques caresses ?
Ne vous faisait-il point aussi quelques caresses ?,"Oh tant ; il me prenait et les mains et les bras,"
"Oh tant ; il me prenait et les mains et les bras,",Et de me les baiser il n’était jamais las.
Et de me les baiser il n’était jamais las.,"Ne vous a-t-il point pris, Agnès, quelque autre chose…"
"Ne vous a-t-il point pris, Agnès, quelque autre chose…",Ouf.
Ouf.,"Hé, il m’a…"
"Hé, il m’a…",Quoi ?
Quoi ?,Pris…
Pris…,Euh !
Euh !,Le…
Le…,Plaît-il ?
Plaît-il ?,"Je n’ose,"
"Je n’ose,",Et vous vous fâcherez peut-être contre moi.
Et vous vous fâcherez peut-être contre moi.,Non.
Non.,Si fait.
Si fait.,Mon dieu ! non.
Mon dieu ! non.,Jurez donc votre foi.
Jurez donc votre foi.,"Ma foi, soit."
"Ma foi, soit.",Il m’a pris… vous serez en colère.
Il m’a pris… vous serez en colère.,Non.
Non.,Si.
Si.,"Non, non, non, non ! Diantre ! que de mystère !"
"Non, non, non, non ! Diantre ! que de mystère !",Qu’est-ce qu’il vous a pris ?
Qu’est-ce qu’il vous a pris ?,Il…
Il…,Je souffre en damné.
Je souffre en damné.,Il m’a pris le ruban que vous m’aviez donné.
Il m’a pris le ruban que vous m’aviez donné.,"À vous dire le vrai, je n’ai pu m’en défendre."
"À vous dire le vrai, je n’ai pu m’en défendre.","Passe pour le ruban. Mais je voulais apprendre,"
"Passe pour le ruban. Mais je voulais apprendre,",S’il ne vous a rien fait que vous baiser les bras.
S’il ne vous a rien fait que vous baiser les bras.,Comment. Est-ce qu’on fait d’autres choses ?
Comment. Est-ce qu’on fait d’autres choses ?,Non pas.
Non pas.,"Mais pour guérir du mal qu’il dit qui le possède,"
"Mais pour guérir du mal qu’il dit qui le possède,",N’a-t-il point exigé de vous d’autre remède ?
N’a-t-il point exigé de vous d’autre remède ?,"Non. Vous pouvez juger s’il en eût demandé,"
"Non. Vous pouvez juger s’il en eût demandé,",Que pour le secourir j’aurais tout accordé.
Que pour le secourir j’aurais tout accordé.,"Grâce aux bontés du Ciel, j’en suis quitte à bon compte."
"Grâce aux bontés du Ciel, j’en suis quitte à bon compte.",Si j’y retombe plus je veux bien qu’on m’affronte.
Si j’y retombe plus je veux bien qu’on m’affronte.,"Chut. De votre innocence, Agnès, c’est un effet,"
"Chut. De votre innocence, Agnès, c’est un effet,","Je ne vous en dis mot, ce qui s’est fait est fait."
"Je ne vous en dis mot, ce qui s’est fait est fait.",Je sais qu’en vous flattant le Galant ne désire
Je sais qu’en vous flattant le Galant ne désire,"Que de vous abuser, et puis après s’en rire."
"Que de vous abuser, et puis après s’en rire.",Oh ! point. Il me l’a dit plus de vingt fois à moi.
Oh ! point. Il me l’a dit plus de vingt fois à moi.,Ah ! vous ne savez pas ce que c’est que sa foi.
Ah ! vous ne savez pas ce que c’est que sa foi.,"Mais enfin : apprenez qu’accepter des cassettes,"
"Mais enfin : apprenez qu’accepter des cassettes,",Et de ces beaux blondins écouter les sornettes :
Et de ces beaux blondins écouter les sornettes :,Que se laisser par eux à force de langueur
Que se laisser par eux à force de langueur,"Baiser ainsi les mains, et chatouiller le cœur ;"
"Baiser ainsi les mains, et chatouiller le cœur ;",Est un péché mortel des plus gros qu’il se fasse.
Est un péché mortel des plus gros qu’il se fasse.,"Un péché, dites-vous, et la raison de grâce ?"
"Un péché, dites-vous, et la raison de grâce ?","La raison ? la raison, est l’arrêt prononcé,"
"La raison ? la raison, est l’arrêt prononcé,",Que par ces actions le Ciel est courroucé.
Que par ces actions le Ciel est courroucé.,Courroucé. Mais pourquoi faut-il qu’il s’en courrouce ?
Courroucé. Mais pourquoi faut-il qu’il s’en courrouce ?,"C’est une chose, hélas ! si plaisante et si douce."
"C’est une chose, hélas ! si plaisante et si douce.",J’admire quelle joie on goûte à tout cela.
J’admire quelle joie on goûte à tout cela.,Et je ne savais point encor ces choses-là.
Et je ne savais point encor ces choses-là.,"Oui. C’est un grand plaisir que toutes ces tendresses,"
"Oui. C’est un grand plaisir que toutes ces tendresses,","Ces propos si gentils, et ces douces caresses :"
"Ces propos si gentils, et ces douces caresses :","Mais il faut le goûter en toute honnêteté,"
"Mais il faut le goûter en toute honnêteté,",Et qu’en se mariant le crime en soit ôté.
Et qu’en se mariant le crime en soit ôté.,N’est-ce pas un péché lorsque l’on se marie ?
N’est-ce pas un péché lorsque l’on se marie ?,Non.
Non.,"Mariez-moi donc promptement, je vous prie."
"Mariez-moi donc promptement, je vous prie.","Si vous le souhaitez, je le souhaite aussi,"
"Si vous le souhaitez, je le souhaite aussi,",Et pour vous marier on me revoit ici.
Et pour vous marier on me revoit ici.,Est-il possible ?
Est-il possible ?,Oui.
Oui.,Que vous me ferez aise !
Que vous me ferez aise !,Oui ; je ne doute point que l’hymen ne vous plaise.
Oui ; je ne doute point que l’hymen ne vous plaise.,Vous nous voulez nous deux…
Vous nous voulez nous deux…,Rien de plus assuré.
Rien de plus assuré.,"Que si cela se fait, je vous caresserai !"
"Que si cela se fait, je vous caresserai !","Hé, la chose sera de ma part réciproque."
"Hé, la chose sera de ma part réciproque.","Je ne reconnais point, pour moi, quand on se moque."
"Je ne reconnais point, pour moi, quand on se moque.",Parlez-vous tout de bon ?
Parlez-vous tout de bon ?,"Oui, vous le pourrez voir."
"Oui, vous le pourrez voir.",Nous serons mariés ?
Nous serons mariés ?,Oui.
Oui.,Mais quand ?
Mais quand ?,Dès ce soir ?
Dès ce soir ?,Dès ce soir.
Dès ce soir.,Dès ce soir. Cela vous fait donc rire ?
Dès ce soir. Cela vous fait donc rire ?,Oui.
Oui.,"Vous voir bien contente, est ce que je désire."
"Vous voir bien contente, est ce que je désire.",Hélas ! que je vous ai grande obligation !
Hélas ! que je vous ai grande obligation !,Et qu’avec lui j’aurai de satisfaction !
Et qu’avec lui j’aurai de satisfaction !,Avec qui ?
Avec qui ?,Avec… là.
Avec… là.,Là… là n’est pas mon compte.
Là… là n’est pas mon compte.,"À choisir un mari, vous êtes un peu prompte."
"À choisir un mari, vous êtes un peu prompte.","C’est un autre en un mot que je vous tiens tout prêt,"
"C’est un autre en un mot que je vous tiens tout prêt,","Et quant au Monsieur, là… Je prétends, s’il vous plaît,"
"Et quant au Monsieur, là… Je prétends, s’il vous plaît,","Dût le mettre au tombeau le mal dont il vous berce,"
"Dût le mettre au tombeau le mal dont il vous berce,",Qu’avez lui désormais vous rompiez tout commerce ;
Qu’avez lui désormais vous rompiez tout commerce ;,"Que venant au logis, pour votre compliment"
"Que venant au logis, pour votre compliment","Vous lui fermiez au nez la porte honnêtement,"
"Vous lui fermiez au nez la porte honnêtement,","Et lui jetant, s’il heurte, un grès par la fenêtre,"
"Et lui jetant, s’il heurte, un grès par la fenêtre,",L’obligiez tout de bon à ne plus y paraître.
L’obligiez tout de bon à ne plus y paraître.,"M’entendez-vous, Agnès ? Moi, caché dans un coin,"
"M’entendez-vous, Agnès ? Moi, caché dans un coin,",De votre procédé je serai le témoin.
De votre procédé je serai le témoin.,Las ! il est si bien fait. c’est…
Las ! il est si bien fait. c’est…,Ah que de langage !
Ah que de langage !,Je n’aurai pas le cœur…
Je n’aurai pas le cœur…,Point de bruit davantage.
Point de bruit davantage.,Montez là-haut.
Montez là-haut.,"Mais quoi, voulez-vous…"
"Mais quoi, voulez-vous…",C’est assez.
C’est assez.,"Je suis Maître, je parle, allez, obéissez."
"Je suis Maître, je parle, allez, obéissez.","Oui : tout a bien été, ma joie est sans pareille."
"Oui : tout a bien été, ma joie est sans pareille.",Vous avez là suivi mes ordres à merveille :
Vous avez là suivi mes ordres à merveille :,Confondu de tout point le blondin séducteur ;
Confondu de tout point le blondin séducteur ;,Et voilà de quoi sert un usage directeur.
Et voilà de quoi sert un usage directeur.,"Votre innocence, Agnès, avait été surprise,"
"Votre innocence, Agnès, avait été surprise,","Voyez, sans y penser où vous vous étiez mise."
"Voyez, sans y penser où vous vous étiez mise.","Vous enfiliez tout droit, sans mon instruction,"
"Vous enfiliez tout droit, sans mon instruction,",Le grand chemin d’Enfer et de perdition.
Le grand chemin d’Enfer et de perdition.,De tous ces Damoiseaux on sait trop les coutumes.
De tous ces Damoiseaux on sait trop les coutumes.,"Ils ont de beaux canons, force rubans, et plumes,"
"Ils ont de beaux canons, force rubans, et plumes,","Grands cheveux, belles dents, et des propos fort doux :"
"Grands cheveux, belles dents, et des propos fort doux :","Mais comme je vous dis la griffe est là-dessous,"
"Mais comme je vous dis la griffe est là-dessous,","Et ce sont vrais Satans, dont la gueule altérée"
"Et ce sont vrais Satans, dont la gueule altérée",De l’honneur féminin cherche à faire curée.
De l’honneur féminin cherche à faire curée.,"Mais encore une fois, grâce au soin apporté,"
"Mais encore une fois, grâce au soin apporté,",Vous en êtes sortie avec honnêteté.
Vous en êtes sortie avec honnêteté.,"L’air dont je vous ai vu lui jeter cette pierre,"
"L’air dont je vous ai vu lui jeter cette pierre,","Qui de tous ses desseins a mis l’espoir par terre,"
"Qui de tous ses desseins a mis l’espoir par terre,",Me confirme encore mieux à ne point différer
Me confirme encore mieux à ne point différer,"Les Noces, où je dis qu’il vous faut préparer."
"Les Noces, où je dis qu’il vous faut préparer.",Mais avant toute chose il est bon de vous faire
Mais avant toute chose il est bon de vous faire,"Quelque petit discours, qui vous soit salutaire."
"Quelque petit discours, qui vous soit salutaire.","Un siège au frais ici. Vous, si jamais en rien…"
"Un siège au frais ici. Vous, si jamais en rien…",De toutes vos leçons nous nous souviendrons bien.
De toutes vos leçons nous nous souviendrons bien.,Cet autre Monsieur-là nous en faisait accroire.
Cet autre Monsieur-là nous en faisait accroire.,Mais…
Mais…,"S’il entre jamais, je veux jamais ne boire."
"S’il entre jamais, je veux jamais ne boire.","Aussi bien est-ce un sot, il nous a l’autre fois"
"Aussi bien est-ce un sot, il nous a l’autre fois",Donné deux écus d’or qui n’étaient pas de poids.
Donné deux écus d’or qui n’étaient pas de poids.,Ayez donc pour souper tout ce que je désire ;
Ayez donc pour souper tout ce que je désire ;,"Et pour notre contrat, comme je viens de dire,"
"Et pour notre contrat, comme je viens de dire,","Faites venir ici l’un ou l’autre au retour,"
"Faites venir ici l’un ou l’autre au retour,",Le Notaire qui loge au coin de ce carfour.
Le Notaire qui loge au coin de ce carfour.,"Agnès, pour m’écouter, laissez-là votre ouvrage."
"Agnès, pour m’écouter, laissez-là votre ouvrage.","Levez un peu la tête, et tournez le visage."
"Levez un peu la tête, et tournez le visage.","Là, regardez-moi là, durant cet entretien :"
"Là, regardez-moi là, durant cet entretien :",Et jusqu’au moindre mot imprimez-le-vous bien.
Et jusqu’au moindre mot imprimez-le-vous bien.,"Je vous épouse, Agnès, et cent fois la journée"
"Je vous épouse, Agnès, et cent fois la journée",Vous devez bénir l’heur de votre destinée :
Vous devez bénir l’heur de votre destinée :,"Contempler la bassesse où vous avez été,"
"Contempler la bassesse où vous avez été,","Et dans le même temps admirer ma bonté,"
"Et dans le même temps admirer ma bonté,","Qui de ce vil état de pauvre Villageoise,"
"Qui de ce vil état de pauvre Villageoise,",Vous fait monter au rang d’honorable Bourgeoise :
Vous fait monter au rang d’honorable Bourgeoise :,"Et jouir de la couche et des embrassements,"
"Et jouir de la couche et des embrassements,",D’un homme qui fuyait tous ces engagements ;
D’un homme qui fuyait tous ces engagements ;,"Et dont à vingt partis fort capables de plaire,"
"Et dont à vingt partis fort capables de plaire,",Le cœur a refusé l’honneur qu’il vous veut faire.
Le cœur a refusé l’honneur qu’il vous veut faire.,"Vous devez toujours, dis-je, avoir devant les yeux"
"Vous devez toujours, dis-je, avoir devant les yeux",Le peu que vous étiez sans ce nœud glorieux ;
Le peu que vous étiez sans ce nœud glorieux ;,"Afin que cet objet d’autant mieux vous instruise,"
"Afin que cet objet d’autant mieux vous instruise,",À mériter l’état où je vous aurai mise ;
À mériter l’état où je vous aurai mise ;,"À toujours vous connaître, et faire qu’à jamais"
"À toujours vous connaître, et faire qu’à jamais",Je puisse me louer de l’acte que je fais.
Je puisse me louer de l’acte que je fais.,"Le mariage, Agnès, n’est pas un badinage."
"Le mariage, Agnès, n’est pas un badinage.",À d’austères devoirs le rang de femme engage :
À d’austères devoirs le rang de femme engage :,"Et vous n’y montez pas, à ce que je prétends,"
"Et vous n’y montez pas, à ce que je prétends,",Pour être libertine et prendre du bon temps.
Pour être libertine et prendre du bon temps.,Votre sexe n’est là que pour la dépendance.
Votre sexe n’est là que pour la dépendance.,Du côté de la barbe est la toute-puissance.
Du côté de la barbe est la toute-puissance.,"Bien qu’on soit deux moitiés de la société,"
"Bien qu’on soit deux moitiés de la société,",Ces deux moitiés pourtant n’ont point d’égalité :
Ces deux moitiés pourtant n’ont point d’égalité :,"L’une est moitié suprême, et l’autre subalterne :"
"L’une est moitié suprême, et l’autre subalterne :",L’une en tout est soumise à l’autre qui gouverne.
L’une en tout est soumise à l’autre qui gouverne.,Et ce que le soldat dans son devoir instruit
Et ce que le soldat dans son devoir instruit,"Montre d’obéissance au Chef qui le conduit,"
"Montre d’obéissance au Chef qui le conduit,","Le Valet à son Maître, un Enfant à son Père,"
"Le Valet à son Maître, un Enfant à son Père,","À son Supérieur le moindre petit Frère,"
"À son Supérieur le moindre petit Frère,","N’approche point encor de la docilité,"
"N’approche point encor de la docilité,","Et de l’obéissance, et de l’humilité,"
"Et de l’obéissance, et de l’humilité,","Et du profond respect, où la femme doit être"
"Et du profond respect, où la femme doit être","Pour son mari, son Chef, son Seigneur et son Maître."
"Pour son mari, son Chef, son Seigneur et son Maître.","Lors qu’il jette sur elle un regard sérieux,"
"Lors qu’il jette sur elle un regard sérieux,",Son devoir aussitôt est de baisser les yeux ;
Son devoir aussitôt est de baisser les yeux ;,Et de n’oser jamais le regarder en face
Et de n’oser jamais le regarder en face,Que quand d’un doux regard il lui veut faire grâce.
Que quand d’un doux regard il lui veut faire grâce.,C’est ce qu’entendent mal les femmes d’aujourd’hui :
C’est ce qu’entendent mal les femmes d’aujourd’hui :,Mais ne vous gâtez pas sur l’exemple d’autrui.
Mais ne vous gâtez pas sur l’exemple d’autrui.,"Gardez-vous d’imiter ces coquettes vilaines,"
"Gardez-vous d’imiter ces coquettes vilaines,",Dont par toute la Ville on chante les fredaines :
Dont par toute la Ville on chante les fredaines :,"Et de vous laisser prendre aux assauts du malin,"
"Et de vous laisser prendre aux assauts du malin,","C’est-à-dire, d’ouïr aucun jeune blondin."
"C’est-à-dire, d’ouïr aucun jeune blondin.",Songez qu’en vous faisant moitié de ma personne ;
Songez qu’en vous faisant moitié de ma personne ;,"C’est mon honneur, Agnès, que je vous abandonne :"
"C’est mon honneur, Agnès, que je vous abandonne :","Que cet honneur est tendre, et se blesse de peu ;"
"Que cet honneur est tendre, et se blesse de peu ;",Que sur un tel sujet il ne fait point de jeu :
Que sur un tel sujet il ne fait point de jeu :,"Et qu’il est aux Enfers des chaudières bouillantes,"
"Et qu’il est aux Enfers des chaudières bouillantes,",Où l’on plonge à jamais les femmes mal vivantes.
Où l’on plonge à jamais les femmes mal vivantes.,Ce que je vous dis là ne sont pas des chansons :
Ce que je vous dis là ne sont pas des chansons :,Et vous devez du cœur dévorer ces leçons.
Et vous devez du cœur dévorer ces leçons.,"Si votre âme les suit et fuit d’être coquette,"
"Si votre âme les suit et fuit d’être coquette,",Elle sera toujours comme un lis blanche et nette :
Elle sera toujours comme un lis blanche et nette :,"Mais s’il faut qu’à l’honneur elle fasse un faux bond,"
"Mais s’il faut qu’à l’honneur elle fasse un faux bond,","Elle deviendra lors noire comme un charbon,"
"Elle deviendra lors noire comme un charbon,","Vous paraîtrez à tous un objet effroyable,"
"Vous paraîtrez à tous un objet effroyable,","Et vous irez un jour, vrai partage du diable,"
"Et vous irez un jour, vrai partage du diable,",Bouillir dans les Enfers à toute éternité :
Bouillir dans les Enfers à toute éternité :,Dont vous veuille garder la Céleste bonté.
Dont vous veuille garder la Céleste bonté.,Faites la révérence. Ainsi qu’une Novice
Faites la révérence. Ainsi qu’une Novice,"Par cœur dans le Couvent doit savoir son office,"
"Par cœur dans le Couvent doit savoir son office,",Entrant au mariage il en faut faire autant :
Entrant au mariage il en faut faire autant :,Et voici dans ma poche un écrit important
Et voici dans ma poche un écrit important,Qui vous enseignera l’office de la femme.
Qui vous enseignera l’office de la femme.,J’en ignore l’Auteur : mais c’est quelque bonne âme.
J’en ignore l’Auteur : mais c’est quelque bonne âme.,Et je veux que ce soit votre unique entretien.
Et je veux que ce soit votre unique entretien.,Tenez : voyons un peu si vous le lirez bien.
Tenez : voyons un peu si vous le lirez bien.,"Celle qu’un lien honnête,"
"Celle qu’un lien honnête,",Fait entrer au lit d’autrui :
Fait entrer au lit d’autrui :,"Doit se mettre dans la tête,"
"Doit se mettre dans la tête,","Malgré le train d’aujourd’hui,"
"Malgré le train d’aujourd’hui,","Que l’homme qui la prend, ne la prend que pour lui."
"Que l’homme qui la prend, ne la prend que pour lui.",Je vous expliquerai ce que cela veut dire :
Je vous expliquerai ce que cela veut dire :,Mais pour l’heure présente il ne faut rien que lire.
Mais pour l’heure présente il ne faut rien que lire.,"Elle ne se doit parer,"
"Elle ne se doit parer,",Qu’autant que peut désirer
Qu’autant que peut désirer,Le mari qui la possède.
Le mari qui la possède.,C’est lui que touche seul le soin de sa beauté ;
C’est lui que touche seul le soin de sa beauté ;,"Et pour rien doit être conté,"
"Et pour rien doit être conté,",Que les autres la trouvent laide.
Que les autres la trouvent laide.,"Loin, ces études d’œillades,"
"Loin, ces études d’œillades,","Ces eaux, ces blancs, ces pommades,"
"Ces eaux, ces blancs, ces pommades,",Et mille ingrédients qui font des teints fleuris.
Et mille ingrédients qui font des teints fleuris.,"À l’honneur tous les jours ce sont drogues mortelles,"
"À l’honneur tous les jours ce sont drogues mortelles,",Et les soins de paraître belles
Et les soins de paraître belles,Se prennent peu pour les maris.
Se prennent peu pour les maris.,"Sous sa coiffe en sortant, comme l’honneur l’ordonne,"
"Sous sa coiffe en sortant, comme l’honneur l’ordonne,",Il faut que de ses yeux elle étouffe les coups
Il faut que de ses yeux elle étouffe les coups,"Car pour bien plaire à son Époux,"
"Car pour bien plaire à son Époux,",Elle ne doit plaire à personne.
Elle ne doit plaire à personne.,"Hors ceux dont au mari la visite se rend,"
"Hors ceux dont au mari la visite se rend,",La bonne règle défend
La bonne règle défend,De recevoir aucune âme.
De recevoir aucune âme.,"Ceux qui de galante humeur,"
"Ceux qui de galante humeur,","N’ont affaire qu’à Madame,"
"N’ont affaire qu’à Madame,",N’accommodent pas Monsieur.
N’accommodent pas Monsieur.,Il faut des présents des hommes
Il faut des présents des hommes,Qu’elle se défende bien.
Qu’elle se défende bien.,Car dans le siècle où nous sommes
Car dans le siècle où nous sommes,On ne donne rien pour rien.
On ne donne rien pour rien.,"Dans ses meubles, dût-elle en avoir de l’ennui"
"Dans ses meubles, dût-elle en avoir de l’ennui","Il ne faut écritoire, encre, papier ni plumes."
"Il ne faut écritoire, encre, papier ni plumes.","Le mari doit, dans les bonnes coutumes,"
"Le mari doit, dans les bonnes coutumes,",Écrire tout ce qui s’écrit chez lui.
Écrire tout ce qui s’écrit chez lui.,"Ces sociétés déréglées,"
"Ces sociétés déréglées,","Qu’on nomme belles assemblées,"
"Qu’on nomme belles assemblées,","Des femmes, tous les jours corrompent les esprits."
"Des femmes, tous les jours corrompent les esprits.",En bonne Politique on les doit interdire ;
En bonne Politique on les doit interdire ;,Car c’est là que l’on conspire
Car c’est là que l’on conspire,Contre les pauvres maris.
Contre les pauvres maris.,"Toute femme qui veut à l’honneur se vouer,"
"Toute femme qui veut à l’honneur se vouer,","Doit se défendre de jouer,"
"Doit se défendre de jouer,",Comme d’une chose funeste.
Comme d’une chose funeste.,Car le jeu fort décevant
Car le jeu fort décevant,"Pousse une femme souvent,"
"Pousse une femme souvent,",À jouer de tout son reste.
À jouer de tout son reste.,"Des promenades du temps,"
"Des promenades du temps,",Ou repas qu’on donne aux champs
Ou repas qu’on donne aux champs,Il ne faut point qu’elle essaye.
Il ne faut point qu’elle essaye.,"Selon les prudents cerveaux,"
"Selon les prudents cerveaux,",Le mari dans ces cadeaux
Le mari dans ces cadeaux,Est toujours celui qui paye.
Est toujours celui qui paye.,"Vous achèverez seule, et pas à pas, tantôt"
"Vous achèverez seule, et pas à pas, tantôt",Je vous expliquerai ces choses comme il faut.
Je vous expliquerai ces choses comme il faut.,Je me suis souvenu d’une petite affaire.
Je me suis souvenu d’une petite affaire.,"Je n’ai qu’un mot à dire, et ne tarderai guère."
"Je n’ai qu’un mot à dire, et ne tarderai guère.",Rentrez : et conservez ce Livre chèrement.
Rentrez : et conservez ce Livre chèrement.,"Si le Notaire vient, qu’il m’attende un moment."
"Si le Notaire vient, qu’il m’attende un moment.",Je ne puis faire mieux que d’en faire ma femme.
Je ne puis faire mieux que d’en faire ma femme.,"Ainsi que je voudrai, je tournerai cette âme."
"Ainsi que je voudrai, je tournerai cette âme.","Comme un morceau de cire entre mes mains elle est,"
"Comme un morceau de cire entre mes mains elle est,",Et je lui puis donner la forme qui me plaît.
Et je lui puis donner la forme qui me plaît.,"Il s’en est peu fallu que, durant mon absence,"
"Il s’en est peu fallu que, durant mon absence,","On ne m’ait attrapé par son trop d’innocence,"
"On ne m’ait attrapé par son trop d’innocence,","Mais il vaut beaucoup mieux, à dire vérité,"
"Mais il vaut beaucoup mieux, à dire vérité,",Que la femme qu’on a pèche de ce côté.
Que la femme qu’on a pèche de ce côté.,De ces sortes d’erreur le remède est facile.
De ces sortes d’erreur le remède est facile.,Toute personne simple aux leçons est docile :
Toute personne simple aux leçons est docile :,Et si du bon chemin on l’a fait écarter
Et si du bon chemin on l’a fait écarter,Deux mots incontinent l’y peuvent rejeter.
Deux mots incontinent l’y peuvent rejeter.,Mais une femme habile est bien une autre bête.
Mais une femme habile est bien une autre bête.,Notre sort ne dépend que de sa seule tête :
Notre sort ne dépend que de sa seule tête :,"De ce qu’elle s’y met, rien ne la fait gauchir,"
"De ce qu’elle s’y met, rien ne la fait gauchir,",Et nos enseignements ne font là que blanchir.
Et nos enseignements ne font là que blanchir.,"Son bel esprit lui sert à railler nos maximes,"
"Son bel esprit lui sert à railler nos maximes,",À se faire souvent des vertus de ses crimes ;
À se faire souvent des vertus de ses crimes ;,"Et trouver, pour venir à ses coupables fins,"
"Et trouver, pour venir à ses coupables fins,",Des détours à duper l’adresse des plus fins.
Des détours à duper l’adresse des plus fins.,Pour se parer du coup en vain on se fatigue.
Pour se parer du coup en vain on se fatigue.,Une femme d’esprit est un diable en intrigue :
Une femme d’esprit est un diable en intrigue :,Et dès que son caprice a prononcé tout bas
Et dès que son caprice a prononcé tout bas,"L’arrêt de notre honneur, il faut passer le pas."
"L’arrêt de notre honneur, il faut passer le pas.",Beaucoup d’honnêtes gens en pourraient bien que dire.
Beaucoup d’honnêtes gens en pourraient bien que dire.,Enfin mon étourdi n’aura pas lieu d’en rire.
Enfin mon étourdi n’aura pas lieu d’en rire.,Par son trop de caquet il a ce qu’il lui faut.
Par son trop de caquet il a ce qu’il lui faut.,Voilà de nos Français l’ordinaire défaut.
Voilà de nos Français l’ordinaire défaut.,"Dans la possession d’une bonne fortune,"
"Dans la possession d’une bonne fortune,",Le secret est toujours ce qui les importune ;
Le secret est toujours ce qui les importune ;,"Et la vanité sotte a pour eux tant d’appas,"
"Et la vanité sotte a pour eux tant d’appas,",Qu’ils se pendraient plutôt que de ne causer pas.
Qu’ils se pendraient plutôt que de ne causer pas.,"Ô que les femmes sont du diable bien tentées,"
"Ô que les femmes sont du diable bien tentées,",Lorsqu’elles vont choisir ces têtes éventées !
Lorsqu’elles vont choisir ces têtes éventées !,"Et que… Mais le voici : cachons-nous toujours bien,"
"Et que… Mais le voici : cachons-nous toujours bien,",Et découvrons un peu quel chagrin est le sien.
Et découvrons un peu quel chagrin est le sien.,"Je reviens de chez vous, et le destin me montre"
"Je reviens de chez vous, et le destin me montre",Qu’il n’a pas résolu que je vous y rencontre.
Qu’il n’a pas résolu que je vous y rencontre.,Mais j’irai tant de fois qu’enfin quelque moment…
Mais j’irai tant de fois qu’enfin quelque moment…,Hé mon Dieu ! n’entrons point dans ce vain compliment.
Hé mon Dieu ! n’entrons point dans ce vain compliment.,"Rien ne me fâche tant que ces cérémonies,"
"Rien ne me fâche tant que ces cérémonies,","Et si l’on m’en croyait, elles seraient bannies."
"Et si l’on m’en croyait, elles seraient bannies.","C’est un maudit usage, et la plupart des gens"
"C’est un maudit usage, et la plupart des gens",Y perdent sottement les deux tiers de leur temps.
Y perdent sottement les deux tiers de leur temps.,Mettons donc sans façon. Hé bien vos amourettes.
Mettons donc sans façon. Hé bien vos amourettes.,"Puis-je, Seigneur Horace, apprendre où vous en êtes ?"
"Puis-je, Seigneur Horace, apprendre où vous en êtes ?",J’étais tantôt distrait par quelque vision :
J’étais tantôt distrait par quelque vision :,Mais depuis là-dessus j’ai fait réflexion.
Mais depuis là-dessus j’ai fait réflexion.,"De vos premiers progrès j’admire la vitesse,"
"De vos premiers progrès j’admire la vitesse,",Et dans l’événement mon âme s’intéresse.
Et dans l’événement mon âme s’intéresse.,"Ma foi, depuis qu’à vous s’est découvert mon cœur,"
"Ma foi, depuis qu’à vous s’est découvert mon cœur,",Il est à mon amour arrivé du malheur.
Il est à mon amour arrivé du malheur.,"Oh, oh ! comment cela ?"
"Oh, oh ! comment cela ?",La fortune cruelle
La fortune cruelle,A ramené des champs le patron de la belle.
A ramené des champs le patron de la belle.,Quel malheur !
Quel malheur !,"Et de plus, à mon très grand regret,"
"Et de plus, à mon très grand regret,",Il a su de nous deux le commerce secret.
Il a su de nous deux le commerce secret.,"D’où, diantre ! a-t-il sitôt appris cette aventure ?"
"D’où, diantre ! a-t-il sitôt appris cette aventure ?",Je ne sais. Mais enfin c’est une chose sûre.
Je ne sais. Mais enfin c’est une chose sûre.,"Je pensais aller rendre, à mon heure, à peu prés,"
"Je pensais aller rendre, à mon heure, à peu prés,","Ma petite visite à ses jeunes attraits,"
"Ma petite visite à ses jeunes attraits,",Lorsque changeant pour moi de ton et de visage
Lorsque changeant pour moi de ton et de visage,"Et Servante et Valet m’ont bouché le passage,"
"Et Servante et Valet m’ont bouché le passage,","Et d’un : retirez vous, vous nous importunez,"
"Et d’un : retirez vous, vous nous importunez,",M’ont assez rudement fermé la porte au nez.
M’ont assez rudement fermé la porte au nez.,La porte au nez !
La porte au nez !,Au nez.
Au nez.,La chose est un peu forte.
